Countries and areas;OOSR_Pre0Primary_Age_Male;OOSR_Pre0Primary_Age_Female;OOSR_Primary_Age_Male;OOSR_Primary_Age_Female;OOSR_Lower_Secondary_Age_Male;OOSR_Lower_Secondary_Age_Female;OOSR_Upper_Secondary_Age_Male;OOSR_Upper_Secondary_Age_Female;Completion_Rate_Primary_Male;Completion_Rate_Primary_Female;Completion_Rate_Lower_Secondary_Male;Completion_Rate_Lower_Secondary_Female;Completion_Rate_Upper_Secondary_Male;Completion_Rate_Upper_Secondary_Female;Grade_2_3_Proficiency_Reading;Grade_2_3_Proficiency_Math;Primary_End_Proficiency_Reading;Primary_End_Proficiency_Math;Lower_Secondary_End_Proficiency_Reading;Lower_Secondary_End_Proficiency_Math;Youth_15_24_Literacy_Rate_Male;Youth_15_24_Literacy_Rate_Female;Birth_Rate;Gross_Primary_Education_Enrollment;Gross_Tertiary_Education_Enrollment;Unemployment_Rate
Russia;9;10;1;0;2;1;3;3;0;0;0;0;0;0;0;0;99;89;78;78;100;100;115;1026;819;459
Rwanda;48;47;6;6;6;2;50;49;48;61;25;30;19;16;0;0;0;0;0;0;84;89;317;133;67;103
Saint Kitts and Nevis;0;21;0;0;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126;1087;867;0
Saint Lucia;5;0;3;0;9;10;20;21;99;99;85;98;70;90;0;0;0;0;0;0;0;0;12;1026;141;2071
Saint Vincent and the Grenadines;9;3;0;0;1;2;16;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1424;1134;237;1888
Samoa;65;65;0;0;0;0;15;5;0;0;0;0;0;0;0;0;0;0;0;0;99;99;2438;1105;76;836
San Marino;12;14;0;0;0;0;51;57;0;0;0;0;0;0;0;0;0;0;0;0;100;100;68;1081;425;0
Sï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿;49;46;6;6;12;7;19;16;79;86;32;36;4;8;0;0;0;0;0;0;98;98;3154;1068;134;1337
Saudi Arabia;51;48;1;3;0;3;3;9;0;0;0;0;0;0;63;16;0;0;48;11;0;0;178;998;68;593
Senegal;85;83;30;21;0;0;0;0;44;50;27;30;11;10;29;63;35;29;9;8;0;0;3452;81;128;66
Serbia;9;10;2;2;2;2;14;11;99;100;99;99;71;81;0;0;0;72;62;60;0;0;92;1003;672;1269
Seychelles;9;6;0;0;0;0;24;12;0;0;0;0;0;0;0;0;0;0;0;0;99;100;171;1004;171;0
Sierra Leone;58;57;2;2;49;49;64;67;63;65;47;42;27;18;6;0;0;0;0;0;71;63;3341;1128;2;443
Singapore;0;0;0;0;0;1;0;0;0;0;0;0;0;0;97;93;0;0;89;94;100;100;88;1006;848;411
Slovakia;15;17;5;4;5;5;11;11;0;0;0;0;0;0;0;0;93;65;69;75;0;0;106;987;466;556
Slovenia;5;6;1;0;2;1;2;1;0;0;0;0;0;0;96;75;0;0;82;84;0;0;94;1004;786;42
Solomon Islands;36;33;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3244;1062;0;58
Somalia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4175;234;25;1135
South Africa;28;27;12;10;16;13;22;20;95;98;85;91;45;52;22;0;0;13;0;0;0;0;2051;1009;224;2818
South Sudan;78;81;58;67;49;63;57;72;31;18;22;10;12;4;0;0;0;0;0;0;48;47;3501;73;0;1224
Spain;5;5;3;3;1;1;2;1;0;0;0;0;0;0;97;67;0;0;84;75;100;100;79;1027;889;1396
Sri Lanka;0;0;2;3;0;0;18;13;99;99;94;96;32;43;0;0;0;0;0;0;99;99;1583;1002;196;42
Palestinian National Authority;35;34;3;3;4;1;32;18;99;100;80;93;52;73;0;0;0;0;0;0;99;99;0;0;0;0
Sudan;60;60;31;35;33;35;53;50;66;64;49;52;33;28;0;0;0;0;0;0;73;73;3218;768;169;1653
Suriname;12;10;14;11;19;11;42;34;80;90;41;58;18;26;30;0;0;0;0;0;99;98;1854;1088;126;733
Sweden;0;0;0;0;0;0;1;3;0;0;0;0;0;0;98;75;0;0;82;81;0;0;114;1266;67;648
Switzerland;1;0;0;0;1;1;16;20;0;0;0;0;0;0;0;0;0;0;76;83;0;0;10;1052;596;458
Syria;60;61;27;28;37;39;66;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2369;817;401;837
Tajikistan;87;88;1;2;0;0;0;0;99;98;95;93;80;63;0;0;0;0;0;0;0;0;3076;1009;313;1102
Thailand;1;1;0;0;0;0;21;21;98;99;81;92;59;72;0;0;0;0;40;47;98;99;1034;998;493;75
East Timor;51;48;7;3;12;9;27;22;77;85;63;70;49;55;0;0;0;0;0;0;82;85;2942;1153;178;455
Togo;1;7;2;4;15;28;47;66;83;76;55;39;31;12;19;40;16;20;0;0;0;0;3311;1238;145;204
Tokelau;20;0;0;0;0;0;53;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tonga;0;0;0;0;6;4;43;33;98;99;65;76;45;56;0;0;0;0;0;0;99;100;243;1163;64;112
Trinidad and Tobago;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;0;0;0;58;48;0;0;1294;1062;12;269
Tunisia;0;0;0;0;0;0;0;0;94;97;68;80;40;57;47;0;0;0;28;25;0;0;1756;1154;317;1602
